Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown110Bar060326\Down110Bar65Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:09:24.915;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:09:33.735;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;
0,009;0,65;-1;0,452408924;0,441215158;-0,383104126;60,5487228;61,33619893;0,134281442;0,144483881;0,073244423;0,112137809;108,8900418;110,1378573;;;;;;;;;;
0,01;0,65;-1;0,452408924;0,441215158;-0,36345776;60,5609302;61,33599806;0,134281442;0,144457221;0,073244423;0,112019949;108,865627;110,138018;;;;;;;;;;
0,011;0,65;-1;0,452408924;0,441215158;-0,373280943;60,5487228;61,3358361;0,134281442;0,144430645;0,073244423;0,111902455;108,8778344;110,1381016;;;;;;;;;;
0,012;0,65;-1;0,452408924;0,441215158;-0,392927308;60,5487228;61,33563636;0,134281442;0,144404151;0,09765923;0,111785325;108,926664;110,1382233;;;;;;;;;;
0,013;0,65;-1;0,452408924;0,441215158;-0,353634578;60,5609302;61,33543723;0,134281442;0,144377739;0,073244423;0,111745148;108,8778344;110,1384977;;;;;;;;;;
0,014;0,65;-1;0,452408924;0,441215158;-0,353634578;60,5609302;61,33527701;0,134281442;0,144351409;0,073244423;0,111628506;108,8778344;110,1386181;;;;;;;;;;
0,015;0,65;-1;0,452408924;0,441215158;-0,373280943;60,5365154;61,33511729;0,134281442;0,14432516;0,09765923;0,111512225;108,8778344;110,1387382;;;;;;;;;;
0,016;0,65;-1;0,452408924;0,441215158;-0,353634578;60,5365154;61,33488147;0,134281442;0,144298993;0,09765923;0,111472894;108,9388714;110,1388579;;;;;;;;;;
0,017;0,65;-0,985674025;0,452408924;0,441215158;-0,343811395;60,52430799;61,33464639;0,134281442;0,144272907;0,073244423;0,111433685;108,926664;110,1391686;;;;;;;;;;
0,018;0,65;-0,985674025;0,452408924;0,441215158;-0,343811395;60,5487228;61,33437374;0,134281442;0,144246902;0,09765923;0,111318008;108,8534196;110,1394402;;;;;;;;;;
0,019;0,65;-0,862846407;0,452408924;0,441215158;-0,373280943;60,5487228;61,33417853;0,134281442;0,144220977;0,09765923;0,11127928;108,8534196;110,1394811;;;;;;;;;;
0,02;0,65;-0,739783936;0,452408924;0,441215158;-0,353634578;60,5609302;61,33398392;0,134281442;0,144195133;0,09765923;0,111240671;108,8534196;110,1395219;;;;;;;;;;
0,021;0,65;-0,616486613;0,452408924;0,441215158;-0,36345776;60,59755242;61,3338282;0,146488845;0,144169369;0,09765923;0,111202182;108,8900418;110,1395625;;;;;;;;;;
0,022;0,65;-0,493424143;0,452408924;0,441215158;-0,383104126;60,57313761;61,33378786;0,146488845;0,14418198;0,09765923;0,111163812;108,8778344;110,1397179;;;;;;;;;;
0,023;0,65;-0,493424143;0,452408924;0,441215158;-0,343811395;60,57313761;61,33367105;0,158696249;0,144194551;0,09765923;0,111125561;108,8412122;110,1398346;;;;;;;;;;
0,024;0,65;-0,37012682;0,452408924;0,441215158;-0,383104126;60,57313761;61,3335546;0,158696249;0,144245378;0,09765923;0,111087429;108,8412122;110,139836;;;;;;;;;;
0,025;0,65;-0,246359793;0,452436348;0,441246477;-0,373280943;60,5487228;61,33343851;0,146488845;0,144296048;0,109866634;0,111049415;108,8900418;110,1398374;;;;;;;;;;
0,026;0,65;-0,122827619;0,452436348;0,441246477;-0,353634578;60,5609302;61,3332462;0,146488845;0,144308265;0,109866634;0,111049813;108,8900418;110,1399919;;;;;;;;;;
0,027;0,65;0;0,452436348;0,441246477;-0,36345776;60,57313761;61,33309277;0,146488845;0,144320445;0,109866634;0,111050211;108,7923826;110,140146;;;;;;;;;;
0,028;0,65;0;0,452436348;0,441246477;-0,353634578;60,60975982;61,33297812;0,146488845;0,144332587;0,109866634;0,111050607;108,743553;110,1399933;;;;;;;;;;
0,029;0,65;0;0,452436348;0,441246477;-0,373280943;60,60975982;61,3329787;0,146488845;0,144344692;0,109866634;0,111051001;108,7679678;110,1396878;pa+pb*alpha;vel;av vel;;;;;;;
