Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\SineWave_speedtreshold0.02_KvFF_PF_100bar_0.1freq_24.04.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34215E+17;fredag 24. april 2026;08:06:38.351;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34215E+17;fredag 24. april 2026;08:07:38.506;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
0,067;9,27E-55;0,007438401;0,034629916;0,034606953;-0,304518664;71,40110477;72,11626894;0,109866634;0,132853677;0,09765923;0,106036993;101,3580737;102,5801064;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-9,27E-55;1,03E-52;0
0,068;8,34E-55;0,006508601;0,034629916;0,034606953;-0,333988212;71,40110477;72,11669378;0,109866634;0,132786482;0,09765923;0,106014635;101,3580737;102,5800684;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-8,34E-55;9,27E-53;0
0,069;7,51E-55;0,006508601;0,034629916;0,034606953;-0,265225933;71,38889737;72,11711729;0,109866634;0,132719496;0,09765923;0,105992347;101,3946959;102,5800304;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-7,51E-55;8,34E-53;0
0,07;6,76E-55;0,005811251;0,034629916;0,034606953;0;71,41331217;72,1175012;0,109866634;0,132652717;0,09765923;0,105970127;101,4069033;102,5801075;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-6,76E-55;7,51E-53;0
0,071;6,08E-55;0,005578801;0,034629916;0,034606953;0;71,40110477;72,11796051;0,109866634;0,132586145;0,09765923;0,105947977;101,3458663;102,5802226;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-6,08E-55;6,76E-53;0
0,072;5,47E-55;0,005811251;0,034629916;0,034606953;0;71,37668996;72,11838009;0,109866634;0,13251978;0,09765923;0,105925895;101,3580737;102,5801459;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-5,47E-55;6,08E-53;0
0,073;4,93E-55;0,006043701;0,034629916;0,034606953;0;71,37668996;72,11872179;0,109866634;0,13245362;0,09765923;0,105903882;101,3580737;102,5801077;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-4,93E-55;5,47E-53;0
0,074;4,43E-55;0,006043701;0,034629916;0,034606953;0;71,38889737;72,11906243;0,109866634;0,132387666;0,109866634;0,105881937;101,3702811;102,5800697;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-4,43E-55;4,93E-53;0
0,075;3,99E-55;0,007438401;0,034629916;0,034606953;0;71,38889737;72,11944031;0,109866634;0,132321915;0,109866634;0,105898355;101,3092441;102,58007;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-3,99E-55;4,43E-53;0
0,076;3,59E-55;0,007205951;0,034629916;0,034606953;0;71,38889737;72,11981701;0,109866634;0,132256369;0,109866634;0,105914721;101,2848292;102,5798789;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-3,59E-55;3,99E-53;0
0,077;3,23E-55;0,008135751;0,034629916;0,034606953;0;71,37668996;72,12019255;0,122074038;0,132191026;0,09765923;0,105931037;101,3458663;102,5796118;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-3,23E-55;3,59E-53;0
0,078;2,91E-55;0,009298001;0,034629916;0,034606953;0;71,37668996;72,12052863;0,122074038;0,13216418;0,09765923;0,105909008;101,3458663;102,579537;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,91E-55;3,23E-53;0
0,079;2,62E-55;0,009298001;0,034629916;0,034606953;0;71,38889737;72,12086367;0,122074038;0,132137417;0,109866634;0,105887047;101,3580737;102,5794624;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,62E-55;2,91E-53;0
0,08;2,36E-55;0,009762901;0,034629916;0,034606953;0;71,37668996;72,12123596;0,109866634;0,132110738;0,109866634;0,105903449;101,3092441;102,5794263;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,36E-55;2,62E-53;0
0,081;2,12E-55;0,009762901;0,034629916;0,034606953;0;71,40110477;72,12156881;0,109866634;0,132045846;0,109866634;0,1059198;101,3214515;102,5792372;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-2,12E-55;2,36E-53;0
