Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\-Pa_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34232E+17;onsdag 13. mai 2026;15:40:20.201;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34232E+17;onsdag 13. mai 2026;15:41:12.537;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
0,071;0,0041841;0,13701006;0,131381146;0;69,11832026;69,84718119;0,134281442;0,143637923;0,09765923;0,106468571;123,8196966;125,2438432;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,64E-61;4,04E-59;0;0;3,64E-61;-0,00938095
0,072;0,0041841;0,13701006;0,131381146;0;69,11832026;69,8474791;0,134281442;0,143613886;0,09765923;0,106444875;123,8074892;125,2440097;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,28E-61;3,64E-59;0;0;3,28E-61;-0,00938095
0,073;0,00441655;0,13701006;0,131381146;0;69,11832026;69,84777609;0,134281442;0,143589924;0,09765923;0,106421253;123,8441115;125,2441374;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,95E-61;3,28E-59;0;0;2,95E-61;-0,00938095
0,074;0,004649;0,13701006;0,131381146;0;69,13052767;69,84807215;0,122074038;0,143566036;0,09765923;0,106397704;123,8807337;125,2443795;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,65E-61;2,95E-59;0;0;2,65E-61;-0,00938095
0,075;0,005578801;0,13701006;0,131381146;0;69,15494247;69,84840559;0,134281442;0,143503928;0,09765923;0,106374228;123,8196966;125,2447358;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,39E-61;2,65E-59;0;0;2,39E-61;-0,00938095
0,076;0,005578801;0,13701006;0,131381146;0;69,15494247;69,84881459;0,134281442;0,143480307;0,09765923;0,106350825;123,8196966;125,2448995;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,15E-61;2,39E-59;0;0;2,15E-61;-0,00938095
0,077;0,006508601;0,13701006;0,131381146;0;69,15494247;69,84922232;0,122074038;0,143456758;0,073244423;0,106327495;123,8074892;125,2450627;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,93E-61;2,15E-59;0;0;1,93E-61;-0,00938095
0,078;0,007438401;0,13701006;0,131381146;0;69,13052767;69,84962878;0,122074038;0,143394989;0,073244423;0,106227647;123,8441115;125,2451871;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,74E-61;1,93E-59;0;0;1,74E-61;-0,00938095
0,079;0,008135751;0,13701006;0,131381146;0;69,13052767;69,8499574;0,122074038;0,143333411;0,073244423;0,106128109;123,7830744;125,245426;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,57E-61;1,74E-59;0;0;1,57E-61;-0,00938095
0,08;0,008135751;0,13701006;0,131381146;0;69,13052767;69,850285;0,122074038;0,143272023;0,073244423;0,10602888;123,7220374;125,2454727;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,41E-61;1,57E-59;0;0;1,41E-61;-0,00938095
0,081;0,008135751;0,13701006;0,131381146;0;69,13052767;69,85061158;0,122074038;0,143210826;0,073244423;0,105929958;123,7220374;125,2453278;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,27E-61;1,41E-59;0;0;1,27E-61;-0,00938095
0,082;0,007438401;0,13701006;0,131381146;0;69,15494247;69,85093715;0,122074038;0,143149819;0,073244423;0,105831343;123,770867;125,2451833;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-1,14E-61;1,27E-59;0;0;1,14E-61;-0,00938095
